                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2015 (cokr72fl)'

                                 Variable                                                   Percent
             S1217       Last 12 months considered separating from partner                                      26.48 
             S1218       Reasons for wanting to separate from partner                                           78.03 
             S122        Respondent's mother age at first child                                                 60.01 
             S1220       At the time of aggression did you attack your husband back                             42.53 
             S1221A      At times when husband is not mistreating have you: hit him                             42.53 
             S1221B      At times when husband is not mistreating have you: insulted him                        42.53 
             S1221C      At times when husband is not mistreating have you: controlled him                      42.53 
             S1221D      At times when husband is not mistreating have you: got jealous                         42.53 
             S1221X      At times when husband is not mistreating have you: other                               42.53 
             S1221Z      At times when husband is not mistreating have you: done nothing                        42.53 
             S1222       Frequency of physically hurting husband/partner in last 12 months                       2.00 
             S1224A      How did your parents punish you: spanking                                              12.36 
             S1224B      How did your parents punish you: pushing                                               12.36 
             S1224C      How did your parents punish you: by verbal reprimand                                   12.36 
             S1224D      How did your parents punish you: prohibiting something I liked                         12.36 
             S1224E      How did your parents punish you: depriving from food                                   12.36 
             S1224F      How did your parents punish you: hitting with objects                                  12.36 
             S1224G      How did your parents punish you: keeping me locked up                                  12.36 
             S1224H      How did your parents punish you: ignoring                                              12.36 
             S1224I      How did your parents punish you: assigning non-appropriate work                        12.36 
             S1224J      How did your parents punish you: leaving me out of the house                           12.36 
                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2015 (cokr72fl)'

                       Variable                                                                       Percent
                         Name      Variable Label                                                     Missing

                       S1224K      How did your parents punish you: throwing water                     12.36 
                       S1224L      How did your parents punish you: hiding clothes                     12.36 
                       S1224M      How did your parents punish you: taking away belongings             12.36 
                       S1224N      How did your parents punish you: withdrawing economic support       12.36 
                       S1224X      How did your parents punish you: other                              12.36 
                       S1224Z      How did your parents punish you: didn't punish                      12.36 
                       S1225       Was partner mistreated by parents/step parents                      12.36 
                       S1226       Did partner's father mistreated your mother                         12.36 
                       S1226A      Do you have a step child living with you                            12.36 
                       S1228A      Who punish children/step children: father/step-father               13.78 
                       S1228B      Who punish children/step children: respondent/step-mother           13.78 
                       S1228X      Who punish children/step children: other                            13.78 
                       S1228Y      Who punish children/step children: nobody                           13.78 
                       S123        Respondent's father age at first child                              60.01 
                       S1230AA     How partner punish children: spanking them                          55.91 
                       S1230AB     How partner punish children: pushing them                           55.91 
                       S1230AC     How partner punish children: by verbal reprimand                    55.91 
                       S1230AD     How partner punish children: prohibiting something they like        55.91 
                       S1230AE     How partner punish children: depriving from food                    55.91 
                       S1230AF     How partner punish children:  hitting with objects                  55.91 
                       S1230AG     How partner punish children: keeping them locked up                 55.91 
                       S1230AH     How partner punish children: ignoring them                          55.91 
                       S1230AI     How partner punish children: assigning non-appropriate work         55.91 
                       S1230AJ     How partner punish children: leaving them out of the house          55.91 
                       S1230AK     How partner punish children: throwing water at them                 55.91 
                       S1230AL     How partner punish children: hiding their clothes                   55.91 
                       S1230AM     How partner punish children: taking away belongings                 55.91 
                       S1230AN     How partner punish children: withdrawing economic support           55.91 
                       S1230AX     How partner punish children: other                                  55.91 
                       S1230BA     How respondent punish children: spanking them                       31.45 
                       S1230BB     How respondent punish children: pushing them                        31.45 
                       S1230BC     How respondent punish children: by verbal reprimand                 31.45 
                       S1230BD     How respondent punish children: prohibiting something they like     31.45 
                       S1230BE     How respondent punish children: depriving from food                 31.45 
                       S1230BF     How respondent punish children:  hitting with objects               31.45 
                       S1230BG     How respondent punish children: keeping them locked up              31.45 
                       S1230BH     How respondent punish children: ignoring them                       31.45 
                       S1230BI     How respondent punish children: assigning non-appropriate work      31.45 
                       S1230BJ     How respondent punish children: leaving them out of the house       31.45 
                       S1230BK     How respondent punish children: throwing water at them              31.45 
                       S1230BL     How respondent punish children: hiding their clothes                31.45 
                       S1230BM     How respondent punish children: taking away belongings              31.45 
                       S1230BN     How respondent punish children: withdrawing economic support        31.45 
                       S1230BX     How respondent punish children: other                               31.45 
                       S1230CA     How other punish children: spanking them                            97.37 
                       S1230CB     How other punish children: pushing them                             97.37 
                       S1230CC     How other punish children: by verbal reprimand                      97.37 
                       S1230CD     How other punish children: prohibiting something they like          97.37 
                       S1230CE     How other punish children: depriving from food                      97.37 
                       S1230CF     How other punish children:  hitting with objects                    97.37 
                       S1230CG     How other punish children: keeping them locked up                   97.37 
                       S1230CH     How other punish children: ignoring them                            97.37 
                       S1230CI     How other punish children: assigning non-appropriate work           97.37 
                       S1230CJ     How other punish children: leaving them out of the house            97.37 
                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2015 (cokr72fl)'

                    Variable                                                                             Percent
                      Name      Variable Label                                                           Missing

                    S1230CK     How other punish children: throwing water at them                         97.37 
                    S1230CL     How other punish children: hiding their clothes                           97.37 
                    S1230CM     How other punish children: taking away belongings                         97.37 
                    S1230CN     How other punish children: withdrawing economic support                   97.37 
                    S1230CX     How other punish children: other                                          97.37 
                    S1234       As a result of violence did lost a pregnancy                              90.73 
                    S1235       Someone/partner didn't allow you to see friends                            2.00 
                    S1236A      Person who didn't allow see friends: mother/father                        94.29 
                    S1236B      Person who didn't allow see friends: step mother/father                   94.29 
                    S1236C      Person who didn't allow see friends: son/daughter/step-child              94.29 
                    S1236D      Person who didn't allow see friends: partner relative                     94.29 
                    S1236E      Person who didn't allow see friends: own relative                         94.29 
                    S1236F      Person who didn't allow see friends: boyfriend                            94.29 
                    S1236G      Person who didn't allow see friends: ex-boyfriend                         94.29 
                    S1236X      Person who didn't allow see friends: other                                94.29 
                    S1237       Someone/partner limit contact with family                                  2.00 
                    S1238A      Person who limit contact with family: mother/father                       98.05 
                    S1238B      Person who limit contact with family: step mother/father                  98.05 
                    S1238C      Person who limit contact with family: son/daughter/step-child             98.05 
                    S1238D      Person who limit contact with family: partner relative                    98.05 
                    S1238E      Person who limit contact with family: own relative                        98.05 
                    S1238F      Person who limit contact with family: boyfriend                           98.05 
                    S1238G      Person who limit contact with family: ex-boyfriend                        98.05 
                    S1238X      Person who limit contact with family: other                               98.05 
                    S1239       Someone/partner have addressed you in bad terms                            2.00 
                    S124        Any of respondent's brothers/sisters had children before they were 18     60.01 
                    S1240A      Person who addressed you in bad terms: mother/father                      88.22 
                    S1240B      Person who addressed you in bad terms: step mother/father                 88.22 
                    S1240C      Person who addressed you in bad terms: son/daughter/step-child            88.22 
                    S1240D      Person who addressed you in bad terms: partner relative                   88.22 
                    S1240E      Person who addressed you in bad terms: own relative                       88.22 
                    S1240F      Person who addressed you in bad terms: boyfriend                          88.22 
                    S1240G      Person who addressed you in bad terms: ex-boyfriend                       88.22 
                    S1240H      Person who addressed you in bad terms: friends/mates                      88.22 
                    S1240X      Person who addressed you in bad terms: other                              88.22 
                    S1243       Forced by someone/partner to have sexual intercourse                       2.00 
                    S1245       Want to talk about the time when forced for sexual acts                   95.36 
                    S1246A      Who forced to perform sexual acts: father                                 96.41 
                    S1246B      Who forced to perform sexual acts: step father                            96.41 
                    S1246C      Who forced to perform sexual acts: brother                                96.41 
                    S1246D      Who forced to perform sexual acts: ex-partner                             96.41 
                    S1246E      Who forced to perform sexual acts: boyfriend                              96.41 
                    S1246F      Who forced to perform sexual acts: ex-boyfriend                           96.41 
                    S1246G      Who forced to perform sexual acts: acquaintance                           96.41 
                    S1246H      Who forced to perform sexual acts: neighbor                               96.41 
                    S1246I      Who forced to perform sexual acts: other male relative of respondent      96.41 
                    S1246J      Who forced to perform sexual acts: friend                                 96.41 
                    S1246K      Who forced to perform sexual acts: teacher                                96.41 
                    S1246L      Who forced to perform sexual acts: boss                                   96.41 
                    S1246M      Who forced to perform sexual acts: unknown person                         96.41 
                    S1246X      Who forced to perform sexual acts: other                                  96.41 
                    S1247       When was raped took emergency contraception                               96.41 
                    S1248       As a result of the rape got pregnant                                      96.41 
                    S1249       Did rape occurred after May 2006                                          96.41 
                                          Missing Data Report (Sorted by Percent Missing)
                                                       'DHS 2015 (cokr72fl)'

               Variable                                                                                      Percent
                 Name      Variable Label                                                                    Missing

                S1250      Was told about abortion rights when raped                                          98.52 
                S1251      Requested termination of pregnancy                                                 98.52 
                S1252      Was pregnancy termination performed                                                99.98 
                S1254      Has been forced to have sex to obtain money/benefits for others                     2.00 
                S1255A     Who forced to have sex for money/benefits: mother/father                           99.73 
                S1255B     Who forced to have sex for money/benefits: step parents                            99.73 
                S1255C     Who forced to have sex for money/benefits: ex-partner                              99.73 
                S1255D     Who forced to have sex for money/benefits: other relative                          99.73 
                S1255E     Who forced to have sex for money/benefits: boyfriend                               99.73 
                S1255F     Who forced to have sex for money/benefits: friend                                  99.73 
                S1255G     Who forced to have sex for money/benefits: teacher                                 99.73 
                S1255H     Who forced to have sex for money/benefits: boss                                    99.73 
                S1255I     Who forced to have sex for money/benefits: unknown person                          99.73 
                S1255X     Who forced to have sex for money/benefits: other                                   99.73 
                S1256      Age when forced to have sex to get benefits to others                              99.73 
                S1257      Has been sexually harassed                                                          2.00 
                S1258A     Sexual harassment occurred in: public transportation                               85.23 
                S1258B     Sexual harassment occurred in: street                                              85.23 
                S1258C     Sexual harassment occurred at: home                                                85.23 
                S1258D     Sexual harassment occurred at: school                                              85.23 
                S1258E     Sexual harassment occurred in: supermarket                                         85.23 
                S1258F     Sexual harassment occurred at: meeting                                             85.23 
                S1258G     Sexual harassment occurred at: bar/discotheque                                     85.23 
                S1258H     Sexual harassment occurred at: work                                                85.23 
                S1258X     Sexual harassment occurred at: other                                               85.23 
                S1259      Has felt uneasy or sexually harassed in a street                                    2.00 
                S125A      Frequency father, mother, caretaker: know where you are when leaving the house     60.01 
                S125B      Frequency father, mother, caretaker: know your friends                             60.01 
                S125C      Frequency father, mother, caretaker: establish a time to go out and come back      60.01 
                S125D      Frequency father, mother, caretaker: know how you are doing at school              60.01 
                S1260      Have been requested pregnancy test when looking for a job                           2.00 
                S1261      Have been requested sterilization prove when looking for a job                     11.67 
                S1262      Have been requested HIV test when looking for a job                                11.67 
                S1263      Have been fired from a job because of pregnancy                                     2.00 
                S1267A     Authority where help was sought: police inspection                                 54.76 
                S1267B     Authority where help was sought: family commissary                                 54.76 
                S1267C     Authority where help was sought: Colombia welfare institute (ICBF)                 54.76 
                S1267D     Authority where help was sought: public attorney office (fiscalia)                 54.76 
                S1267E     Authority where help was sought: court                                             54.76 
                S1267F     Authority where help was sought: health institution                                54.76 
                S1267G     Authority where help was sought: PROFAMILIA                                        54.76 
                S1267H     Authority where help was sought: town official (personero)                         54.76 
                S1267I     Authority where help was sought: house of justice                                  54.76 
                S1267J     Authority where help was sought: town office (defensoria)                          54.76 
                S1267X     Authority where help was sought: other                                             54.76 
                S1267Z     Authority where help was sought: never denounced                                   54.76 
                S1268      Was violence denounced                                                             90.80 
                S1269A     Authority where denouncement was placed: police inspection                         92.25 
                S1269B     Authority where denouncement was placed: family commissary                         92.25 
                S1269C     Authority where denouncement was placed: public attorney office (fiscalia)         92.25 
                S1269D     Authority where denouncement was placed: court                                     92.25 
                S1269X     Authority where denouncement was placed: other                                     92.25 
                S126A      Among friends the same age: how many started sex live                              60.01 
